Anton;0675485400,0935485455;01/02/1984
Andrew;0675485401;02/02/1984
Asha;0675485402;03/02/1984
Anastasha;0675485403;
Bogdan;0675485404;
Boris;0675485405;
Caty;0675485406;
Cally;0675485407;
Dmitry;0675485408;
Doll;0675485409;
Baby;0675485410;
Eugen;0675485411;
George;0675485412;
John;0675485413,0673120732;
Joseph;0675485414;
Hill;0675485415;
Hillary;0675485416;
Iren;0675485417;
Inna;0675485418;
Ivan;0675485419;
Kim;0675485420,0935485488,0976312904;03/12/1981
Ken;0675485421;
Kris;0675485422;
Britny;0508432960,0732071801;
Petro;0975312570;
